,Country,Percentage,Start Date
0,Argentina,41.8,T1
1,France,48.2,T1
2,Marocco,3.7,T1
3,Croatia,6.3,T1
4,Argentina,50.1,T2
5,France,37.8,T2
6,Marocco,5.3,T2
7,Croatia,6.8,T2
8,Argentina,44.9,T3
9,France,38.1,T3
10,Marocco,6.3,T3
11,Croatia,10.7,T3
12,Argentina,35,T4
13,France,44.14,T4
14,Marocco,9.27,T4
15,Croatia,11.59,T4
